Mx,My,Mz,Dx,Dy,Dz,Entrenamiento
2.0834,9.36708,2.07492,1.39873,3.70543,2.82367,SubirEscaleras
2.03579,9.39719,2.14751,1.18411,3.26505,2.72682,SubirEscaleras
2.21113,8.8933,2.91617,2.72873,4.59318,2.39236,BajarEscaleras
1.93117,8.78853,2.01529,3.08884,5.2644,2.50968,BajarEscaleras
2.26455,8.8624,2.21941,2.9914,4.92597,2.15706,BajarEscaleras
2.20655,8.64395,2.5794,2.27843,4.6974,2.0199,BajarEscaleras
2.2783,8.8967,2.70141,2.02144,4.38101,1.85312,BajarEscaleras
2.22064,8.77384,2.65819,2.59157,4.62538,2.13809,BajarEscaleras
2.20743,9.15192,2.37375,2.74599,5.05908,2.43833,BajarEscaleras
2.23306,8.98742,2.31245,2.53214,4.65047,2.06866,BajarEscaleras
2.26681,8.92218,2.46472,2.77833,4.74417,2.22134,BajarEscaleras
2.19817,9.20736,2.18521,2.75787,5.00887,2.23263,BajarEscaleras
2.22759,9.00941,2.39834,2.72078,4.89528,2.32319,BajarEscaleras
1.01536,9.88111,1.24638,1.48001,1.73229,1.31997,Andar
1.12688,9.87564,1.37949,2.06272,3.38566,2.20205,Andar
1.21376,9.95898,1.26092,2.08989,4.07387,2.29872,Andar
1.40841,9.76097,1.28226,1.99642,3.87004,2.29378,Andar
1.4538,9.9572,1.14703,1.97758,4.11281,2.25927,Andar
1.56433,9.74525,1.41635,2.14481,4.3707,2.4195,Andar
1.40432,9.64418,1.43808,2.09365,4.38739,2.33511,Andar
1.37037,9.91063,1.553,2.1428,3.78426,2.10173,Andar
1.2895,9.94113,1.41157,2.11446,3.84448,2.19034,Andar
1.38215,9.80621,1.48135,2.17496,3.93269,2.16053,Andar
1.41945,10.06256,1.51274,2.34505,3.94871,2.10373,Andar
1.76416,9.64369,1.53003,2.28017,3.60857,2.09686,Andar
2.00194,9.04701,2.74852,2.60654,4.65768,2.30093,BajarEscaleras
1.92723,9.16119,2.5584,2.49133,4.47602,1.73906,BajarEscaleras
1.99765,8.88734,2.56845,2.40446,4.48313,1.81778,BajarEscaleras
2.01081,9.31814,2.65203,2.51322,4.59401,2.05809,BajarEscaleras
1.99144,9.31257,2.36646,2.43075,4.46894,1.97531,BajarEscaleras
1.91885,9.02108,2.3085,2.19992,4.60457,2.08129,BajarEscaleras
1.214,9.84632,1.3303,1.81606,3.32289,2.15715,Andar
1.43739,10.03373,1.22011,1.70936,3.37666,2.23077,Andar
1.48672,9.80256,1.30892,1.75472,2.91807,1.82655,Andar
1.49559,9.95395,1.27048,1.8502,2.9904,1.77974,Andar
1.18508,9.74599,1.27146,1.73264,3.75791,2.14888,Andar
1.41635,9.79758,1.41896,1.67662,3.23324,2.14219,Andar
1.39028,9.71819,1.37362,1.57154,3.19886,2.1781,Andar
1.38722,9.85288,1.29103,1.89705,3.53017,2.30148,Andar
1.28428,9.90689,1.43803,1.62247,3.28969,2.17676,Andar
1.29847,9.67221,1.47548,1.39721,2.92624,1.92593,Andar
1.53388,9.82006,1.29601,1.25566,3.12166,2.10703,Andar
1.39097,9.79487,1.13328,1.68911,3.58483,2.23262,Andar
1.45252,9.88983,1.19069,1.97508,3.30913,2.31558,Andar
1.45927,9.90162,1.3578,1.75135,3.49943,2.2261,Andar
1.30562,9.86061,1.18779,1.82593,3.53367,2.12277,Andar
1.39762,9.82996,1.23963,1.68812,3.59883,2.20448,Andar
1.34469,9.84238,1.23234,2.01928,3.29059,2.20601,Andar
1.43739,9.80823,1.36327,1.63914,3.13231,2.22833,Andar
1.17975,9.87032,1.25924,2.056,3.62068,2.27854,Andar
1.30571,9.87598,1.22706,1.69769,3.32727,1.99068,Andar
1.32478,9.78669,1.54852,1.392,2.98005,2.02756,Andar
1.30226,9.77156,1.3373,1.55474,3.16871,2.07361,Andar
1.35115,9.82415,1.23372,1.78673,3.54516,2.00425,Andar
1.41585,9.60653,1.36884,1.67092,3.00767,2.0234,Andar
1.26688,9.8379,1.5461,1.65654,3.13868,2.13807,Andar
1.31138,9.83937,1.3474,1.7138,3.31211,2.03355,Andar
1.15206,9.92098,1.11717,2.10934,3.40507,1.94158,Andar
1.32666,9.86431,1.39604,1.72876,3.18506,2.08145,Andar
0.25226,8.1788,5.3909,1.69376,2.25226,2.18508,Bici
0.84579,8.88748,4.53279,1.13518,1.64589,1.69524,Bici
1.00023,8.07782,5.97865,1.35996,2.37326,1.7792,Bici
1.11722,8.0349,5.79021,0.736,1.77208,1.36651,Bici
1.31463,8.04717,6.09845,0.92401,2.20708,1.26146,Bici
0.96283,8.08999,5.81357,0.73458,2.11128,1.40075,Bici
1.07799,8.07531,5.84866,1.18279,2.16059,1.74452,Bici
1.24328,8.12183,5.76532,0.78661,1.46722,1.35437,Bici
1.4126,7.8877,5.9657,0.68447,1.53296,1.44733,Bici
1.38294,8.04766,5.86241,1.0458,1.99609,1.63078,Bici
1.41709,7.98207,5.89158,0.7496,1.89295,1.34469,Bici
1.27245,8.31116,5.48458,0.88839,1.89558,1.70529,Bici
1.28073,8.15982,5.78444,0.60683,1.22169,1.36481,Bici
1.44641,7.8431,6.03907,0.74552,1.52276,1.4164,Bici
